dt,tweet,User,local
2020-12-30 14:47:16,@parsnip45 https://t.co/G2CF63TxWn. This piece says 10 days after first dose.,rsrindy,Indianapolis
2020-12-30 14:47:11,@ImranKhanPTI PM Imran Khan Pfizer is the original COVID 19 Vaccination. Please arrange the COVID 19 Vaccination as… https://t.co/z0hlW60JdP,SyedUsmanBokh12,
2020-12-30 14:46:48,"Pfizer-BioNTech &amp; Moderna #COVID19vaccines aren't the same. Dr. @bruce_y_lee, PHICOR Exec Dir &amp; @CUNYSPH Prof, cove… https://t.co/gPnoplrtgB",PHICORteam,"New York, NY"
2020-12-30 14:46:17,"""A nursing home resident in Switzerland who was among the first in the country to be vaccinated against COVID-19 la… https://t.co/OJihrAvhKQ",Alicia1984N,Omgeving Rotterdam
2020-12-30 14:45:56,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work – ABC https://t.co/dANJ9j1CzB",sydneymutanyi,"Nairobi, Kenya"
2020-12-30 14:45:55,"Now this is what I've been afraid of what will happen with people who have comorbidities and then get COVID???? ""Ca… https://t.co/beYb2WP6aL",HelpourRhino,Gauteng
2020-12-30 14:45:50,California nurse tests positive over a week after receiving Pfizer Covid-19 vaccine: Report,Mss_Tareem,North central
2020-12-30 14:45:29,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC | Article [AMP] | Re… https://t.co/ZIMbgku4p5",mariajosec,"Quito, Ecuador"
2020-12-30 14:45:07,"@DrMadej Guaranteed, he will never get the Pfizer Covid vaccine nor ANY Covid vaccine",MsStarMoody,"Montréal, Québec"
2020-12-30 14:45:05,"🇺🇸💉☠️ A nurse in California tested positive for COVID-19 more than a week after receiving Pfizer Inc's vaccine, an… https://t.co/iXUmPe7yUP",N0C0vid19vaccin,
2020-12-30 14:45:02,The original COVID 19 Vaccine is Pfizer.  @ImranKhanPTI @SMQureshiPTI @ShkhRasheed,SyedUsmanBokh12,
2020-12-30 14:44:50,#Covid19  California nurse tests positive over a week after receiving Pfizer COVID-19 vaccine https://t.co/mEhkzM2Zwh,jhontxu,Bogota 
2020-12-30 14:44:43,"In 20 years are peeps gonna be sizing each other up over which Covid-19 vaccine they received?  ""Yo dawg I got the… https://t.co/IUswmiHjho",kipbeelman,"Bainbridge Island, Washington"
2020-12-30 14:44:40,A question for my #MedTwitter friends:  If someone received their initial @pfizer COVID vaccine and within 24 hrs d… https://t.co/X7jJYmfTED,NoahRainbowSC,"South Carolina, USA"
2020-12-30 14:43:40,Swiss Patient Dies Shortly After Receiving #Pfizer #COVID19 #Vaccine ☠️ https://t.co/JzuxHY8Xck,ThierryJFT,
2020-12-30 14:43:28,@KendraWrites @carlzimmer Exactly. It's in Pfizer's own document. 39/21000 (approx) people in the vaccine arm got C… https://t.co/fwxPefBNNr,jasonaholliday,"Blacksburg, VA"
2020-12-30 14:43:18,*the first dose of Pfizer COVID-19 vaccine https://t.co/wt9w6LknIR,charlottegaw,Philippines
2020-12-30 14:42:59,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC | Article [AMP] | Re… https://t.co/XDRx6z114M",rexy03,"MARINA DEL REY, CA USA"
2020-12-30 14:42:52,UK expands use of Pfizer vaccine to pregnant and lactating women. Important for those who are facing a very real ri… https://t.co/PzxXcLb5nj,InfectiousDz,NYC
2020-12-30 14:42:45,"Why are comments closed on this article, @thejournal_ie ? https://t.co/m9e5YeoUKL",EubanksRoburt,
2020-12-30 14:42:28,#TrumpIsNotWell #TrumpIsALaughingStock #ByeDon #USA #USAElections2020 #PresidentElectBiden #Biden #PalmBeach… https://t.co/zu0j8KtjiC,VoteHafner,
2020-12-30 14:42:23,Not news but worth a contextual comment. You can get #COVID a short time (7-10 days) after getting the… https://t.co/p55fEC4rBK,NightShiftMD,Toronto
2020-12-30 14:42:17,Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine  https://t.co/XDSxxSi05C,PhDPachuco,USA
2020-12-30 14:41:51,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/jRB2XlzSzH via @YahooNews",pate_tenap1,Mobile
2020-12-30 14:41:46,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/dZNf0zjvjD via @YahooNews",judy_whitfield,"atlanta, ga"
2020-12-30 14:40:49,"Pfizer's CEO hasn't gotten his Covid vaccine yet, saying he doesn't want to cut in line https://t.co/LWCTLLWkNP",DrMadej,@carriemadej for parler
2020-12-30 14:40:36,@Dan35745 @GeorgeTakei That “red tape” you speak of was often laws that stopped pollution being added to your drink… https://t.co/UIu6JrCatf,The_Doctor_Why,
2020-12-30 14:40:35,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/xWfMN2JWdO via @Yahoo",KimAust54786568,
2020-12-30 14:40:14,"Lucerne was the site of the first vaccinations in Switzerland beginning last week, with a shot from Pfizer and its… https://t.co/tOjFLTQhTK",Treewhisperer3,Australia
2020-12-30 14:40:00,A Texas nurse says she tested positive for COVID-19 just days after receiving the first dose of the pfizer vaccine.… https://t.co/siEDs5jtgt,OKCFOX,"Oklahoma City, OK"
2020-12-30 14:39:49,"As Covid-19 vaccines from Pfizer and Moderna are distributed across the country, hospitals and pharmacies work to k… https://t.co/691ckOQ2Nj",Forbes,"New York, NY"
2020-12-30 14:39:47,"@Mrmorado1105 @BritaniaRTW @acnewsitics Trump Shared Psychosis. Unfortunately, neither Pfizer nor Moderna have come… https://t.co/VSSG8GjuNV",RSBauch,"New York, NY"
2020-12-30 14:39:17,@FaheemYounus How is this possible ?? https://t.co/4rL1t6Pyrf,avitri4000,India
2020-12-30 14:38:09,"'After an Israeli man reportedly died just 2 hours after receiving his first dose of the #COVID19 #vaccine, authori… https://t.co/0UhBRatW8q",YamaNiyamaSatya,Antarctica
2020-12-30 14:38:05,ER nurse tests positive for COVID-19 eight days AFTER he received Pfizer vaccine via https://t.co/6Lf16miHRX https://t.co/RKve3aWlKQ,Robbo1992x,Cuckney
2020-12-30 14:37:38,I'm glad Dr. Karikó's getting the vaccine based on her research with Prof. Weissman. I wish Penn had treated her be… https://t.co/JShb2K6vLW,JMarkOckerbloom,Philadelphia
2020-12-30 14:37:10,Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine https://t.co/h7uE1VIast,supernova773,
2020-12-30 14:36:59,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work #US #COVID19 #Pfizer  https://t.co/MNiWQmY48X",TheMorningLK,Sri Lanka
2020-12-30 14:36:34,Singapore administers Asia's 1st doses of Pfizer's COVID-19 vaccine https://t.co/ZMCUn1eKF3 https://t.co/0YQxqyIHGy,Kyodo_News_EN,"Tokyo, Japan"
2020-12-30 14:36:26,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/s8Ill8JYxJ #SmartNews",lukastyle,New York City /Jersey Shore
2020-12-30 14:35:59,@ananavarro the finish line is a long way away still. Ca nurse get the virus after the vaccine. Not good news . Reu… https://t.co/j63r1PMZLe,ljhughes8,"santa Rosa, CA "
2020-12-30 14:35:45,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/fAMKokympY via @Yahoo",charlesqc825,"Myrtle Beach, SC"
2020-12-30 14:35:38,"Vaccinated US nurse contracts #COVID19, expert says #Pfizer shot needed more time to work - ABC https://t.co/xmDY4hOxyI",vipulananda,"Colombo, Sri Lanka"
2020-12-30 16:00:08,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/V2Xaqjjsrw via @Yahoo",CleetisClemmons,"Louisiana, USA"
2020-12-30 16:00:01,"Phase 3 trials of a Sinopharm coronavirus vaccine found it was 79 percent effective, the Chinese pharma giant said… https://t.co/llW5aFkQZc",PhilippineStar,Philippines
2020-12-30 15:59:45,"@IvankaTrump @GrahamTAllison There are many to thank, Hungarian-American researcher Katalin Kariko's expertise on R… https://t.co/RssWNtgJ1W",JudyHarris15,Earth
2020-12-30 15:59:28,@SMMgirl What do you mean it shouldn't happen? According to the data from Pfizer it takes at least 10-12 days after… https://t.co/LcNq8LXBnq,Micrmt,
2020-12-30 15:59:24,"A nursing home resident in #Switzerland has died after receiving the Pfizer-BioNTech COVID-19 vaccine, local media… https://t.co/STHth4bmME",brecordernews,Karachi-Pakistan
2020-12-30 15:59:20,"@Reuters Shameless.  Can't wait for the article ""Woman dies from side-effects of Pfizer COVID-19 vaccine"" as if its… https://t.co/3D0aNZKjdG",malooskii,"russia, usa"
2020-12-30 15:59:13,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/jQN2c9VMpP",tonybrewster1,Portsmouth
2020-12-30 15:59:03,@vdlajc @kommacoaching @brugwal @EDorssen @jejedeje Dit staat er tevens in.... These may not be all the possible si… https://t.co/a4j2PVyrLG,Djindji75,
2020-12-30 15:58:52,"1) Non NHS docs get hands on vaccine 2) Offer it for 500 quid to US citizens, cash on the barrel 3) People fly over… https://t.co/vPMVdBkjOo",ronlieber,Your 529 Plan
2020-12-30 15:58:48,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC - Reuters https://t.co/lVZCremXVV",mccormick1942,"North Las Vegas, NV"
2020-12-30 15:58:38,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/tewhzKI1Gq via @Yahoo",Brian_Spanky,"Guelph, Ontario"
2020-12-30 15:58:18,"👀👀 05OOUCT2020 💉 Pfizer, BioNTech, and Regeneron Hit With Patent Lawsuits Over COVID-19 Drugs and Vaccines. The thr… https://t.co/zlId71YqoZ",ligiacabus,Brazil
2020-12-30 15:58:17,We see people getting the first shot of the vaccine and thinking they are 95% safe but that isn't the case.  Vaccin… https://t.co/uLrLC7juD7,minibitty,"California, USA"
2020-12-30 15:58:16,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/GpbpgtC1fe via @Yahoo",Antonywayne,"California, USA"
2020-12-30 15:58:13,California nurse tests positive for COVID-19 eight days after he received Pfizer vaccine https://t.co/kH5ypj74zW,albertmp3radio,NIGERIA
2020-12-30 15:58:11,@RockyMountViews @realTuckFrumper Article says Moderna is 28 days apart.  https://t.co/4CFoOWrcyM,lilhistorian,Colorado
2020-12-30 15:58:10,I’m at @UTHealth where a bunch of older reps are about to get the #Covid19 vaccine. #abc13 https://t.co/3NmnK2OuXn https://t.co/NM326XFNqe,ABC13Miya,Houston
2020-12-30 15:57:28,26 hour Pfizer covid vaccine update  I feel great  Crushed my cardio and back workout last night  Gonna crush my ch… https://t.co/abDv2byl9O,thomasjbarkoski,United States
2020-12-30 15:57:24,US nurse tests Covid-19 positive after receiving Pfizer Inc’s jab  Read more: https://t.co/dMlhQ48nKf https://t.co/fl10iWhIUl,adaderana,Sri Lanka
2020-12-30 15:57:02,I feel grateful to have received the Pfizer-BioNTech COVID-19 vaccine. I’ll be even happier when each and every one… https://t.co/klUCz1sG9X,arthurdipatri,
2020-12-30 15:56:56,"Got my first Pfizer COVID vaccine dose today! Let’s all continue to follow the COVID guidance, the cases are rising… https://t.co/veSGTuIEOm",DrAmalinaBakri,"London, England"
2020-12-30 15:56:09,@RockyMountViews @realTuckFrumper The second shot doesn't come for a 3-4 weeks? That means they're still walking pe… https://t.co/8VPgXLqcsR,lilhistorian,Colorado
2020-12-30 15:56:05,Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine https://t.co/pXyYO7M9on,cloudhedges,
2020-12-30 15:55:38,"@vonderleyen @pfizer ""The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. Food and D… https://t.co/K6QI4rNKYG",HealthCoachLond,"London, UK & Worldwide"
2020-12-30 15:55:03,Our region will receive the first shipment of the Pfizer #COVID19 vaccine on Jan. 4. We will begin limited vaccinat… https://t.co/ZpafhDVgeb,WDGPublicHealth,"Wellington/Dufferin/Guelph, ON"
2020-12-30 15:54:33,"@kiki_speaks There is no evidence t Pfizer vaccine will actually prevent u getting Covid. It stops u dying from it,… https://t.co/r0YoMBaW1p",Kit2azaleansky,"Sydney, New South Wales"
2020-12-30 15:54:29,Might he have had COVID-19 already and was still in the incubation period when he was vaccinated?  Vaccinated US nu… https://t.co/lpVYG7o2Zv,crkrjx,"San Diego, CA"
2020-12-30 15:53:59,The first doses of the Pfizer COVID-19 vaccine will arrive in Wellington-Dufferin-Guelph at the beginning of next w… https://t.co/MGFPZlzpv8,CTVKitchener,"Kitchener, Waterloo, Cambridge"
2020-12-30 15:53:42,@Patrickcanion Canada (already vaccinating ppl with Moderna and Pfizer vacc’s) had vaccine contracts signed early.… https://t.co/JydxJIRowC,SarahHJ77,
2020-12-30 15:53:33,"Vaccinated US nurse contracts Covid: https://t.co/wRbg484KB2 Only astrologer, who predicted on14th Dec at 11.54pm,… https://t.co/tKLRw6O3FF",AstroGuru_Rjv,New Delhi
2020-12-30 15:53:32,@tedcruz You &amp; Trump can't claim it as your acvomplishment. Pfizer is a German company.  The COVID vaccines you so… https://t.co/KGAqvgUWVF,blueplanetwatch,United States
2020-12-30 15:53:08,"Singapore begins Covid-19 vaccinations, marking 'new chapter' in virus fight - The Edge Markets MY: SINGAPORE (Dec… https://t.co/LZQAEbNzxx",globalfirstnews,Globally-Worldwide
2020-12-30 15:53:01,Suspicions grow that nanoparticles in Pfizer’s COVID-19 vaccine trigger rare allergic reactions https://t.co/gpy2AWlfzn,wbradleyjr1,
2020-12-30 15:52:54,"Did you know the *COVID-19 vaccine maker Pfizer* in 2009, had to pay *$2.3 billion in the largest healthcare fraud*… https://t.co/TLPy5zHmE3",kamath_reeta,
2020-12-30 15:52:32,Information about the #Moderna #CovidVaccine: https://t.co/XZ8YVUvEY0 This one requires the second vaccine 28 days… https://t.co/PnkM9w8pmx,taylortunetracy,"Boston, MA"
2020-12-30 15:52:04,"Boston Doctor Reports Serious Allergic Reaction After Getting Moderna’s Covid Vaccine The patient, who has a severe… https://t.co/5vnwD3WMwl",JusticeToAll,Florida
2020-12-30 15:51:57,Get yours today! https://t.co/S7hF6UzmiW,JanJarv,"Ottawa, Canada"
2020-12-30 15:50:57,"Vaccinated US nurse contracts Covid: https://t.co/wRbg484KB2 Only astrologer, who predicted on14th Dec at 11.54pm,… https://t.co/tRzFdhoR14",AstroGuru_Rjv,New Delhi
2020-12-30 15:50:51,"NS: ""It means there are now two effective Covid vaccines available for use in the UK.     The Oxford/AstraZeneca va… https://t.co/rmmaVh3ayq",theSNP,"Scotland, Europe"
2020-12-30 15:50:50,https://t.co/kJpKcmZZ6O: California nurse tests positive over a week after receiving Pfizer COVID-19 vaccine.… https://t.co/TRqWunCRfk,jamesmfahy,"London, England"
2020-12-30 15:50:40,California nurse contracts COVID-19 after receiving Pfizer vaccine https://t.co/vdw66gwIgc,fillk1054,
2020-12-30 15:50:24,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/XvDtWwmjqX via @Yahoo",YangGangNYC,United States
2020-12-30 15:50:08,"Wicked Sockah!!  In the latest reminder that COVID vaccines might not be as protective as publicized, a local ABC N… https://t.co/GzvrlGTV7J",plake777,New Hampshire
2020-12-30 15:50:00,"A nurse tests positive for COVID-19 just one week after he received the Pfizer vaccine. Within six days, the 45-yea… https://t.co/gXERf3C7tT",kwtx,"Waco, Temple, Killeen, TX"
2020-12-30 15:49:53,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC | Article [AMP] | Re… https://t.co/WzvvntTs9a",edu_ms,London
2020-12-30 15:49:43,"Covid-19 vaccine emergency use authorisation soon? SEC meets to consider Pfizer, Serum, Bharat Biotech requests https://t.co/TEU0awoVD4",sonalgupta0297,"Maharashtra, India"
2020-12-30 15:49:32,Good info.  https://t.co/ag8fIhGW55,MCQuadri13,
2020-12-30 15:49:28,#Health #Canada has warned people with #allergies to #Pfizer #COVID-19 #vaccine #ingredients to not get it. Do you… https://t.co/pr1aaXvBwO,IAMWRITE,Canada
2020-12-30 15:49:00,"“We have a total of 100 million doses on order, which combined with the Pfizer vaccine is enough to vaccinate every… https://t.co/VPEvxJbKF3",fderezende,"New York, USA"
2020-12-30 15:48:45,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/4lRp5npfNm via @Yahoo",kkalmes2,Chicago
2020-12-30 15:48:37,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/BJTzkcwEY4 via @Yahoo",barryocean,
2020-12-30 15:48:07,ER nurse tests positive for covid 19 8 days after receiving vaccine. 🤔  Video: https://t.co/oOZ7w4FItK  https://t.co/r7Khjxb8Fb,Petty_Springer,"Randfontein, South Africa"
2020-12-30 15:48:06,AwesomeCapital: Vaccinated US nurse contracts COVID-19; Pfizer sho... https://t.co/Y6bBwPswyv,cmencke,
2020-12-30 15:48:02,"We're facing a vaccine apartheid, fueled by the profit-driven lobbyists at Big Pharma. If they truly cared more abo… https://t.co/D3iNyUsmGk",PCGTW,"Washington, D.C."
2020-12-30 15:47:30,California nurse tests positive before receiving required second dose of Pfizer COVID-19 vaccine #FTFY https://t.co/ul9MbVXaqt,warriorrabbit,San Diego
2020-12-30 15:47:18,United Kingdom is the 1st country to approve the AstraZenca COVID-19 vaccine.  Cost is a quarter of the Pfizer vacc… https://t.co/aDUVzmgv1e,PBIRx,"Milford, CT"
2020-12-30 15:47:08,@PeterRimmer74 @ShaunLintern @Londoner_2019 Join the others here https://t.co/uWHpsOvXqS,jacksjustforfun,United Kingdom
2020-12-30 15:47:00,San Diego ER nurse tests positive for COVID-19 eight days AFTER he received Pfizer vaccine  #CovidVaccine   https://t.co/FvIU5GfPX9,shot_gangster,"Top of the World, Ma"
2020-12-30 15:47:00,"""""Vaccinated"""" US nurse """"contracts"""" COVID-19, expert &gt;says&lt; Pfizer shot """"needed"""" more time &gt;to work&lt; - ABC… https://t.co/4CUwxL2kWj",spiritualvolt,
2020-12-30 15:46:35,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/yy7TqdstLP",mensaandproud1,
2020-12-30 15:46:22,US nurse tests positive for Covid-19 week after getting Pfizer vaccine  https://t.co/KFROLxhpLg,goutireddy,"Phoenix, AZ"
2020-12-30 15:46:22,Nurse contracts COVID days after first Pfizer vaccine dose  https://t.co/ZXvQNxTk41,BirdWatching0,
2020-12-30 15:46:11,"@JKerby8 @DonMartinCTV As of Dec 18 only 6,000 doses were received by ON and they EXPECTED an additional 90,000 dos… https://t.co/FoA1gDGS5r",QuazgarTheGreat,Trantor
2020-12-30 15:45:51,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/DOqNxSScP9 via @Yahoo",nosetu33,
2020-12-30 15:45:41,@ARanganathan72 A patient who took pfizer had found to be covid 19 even after vaccination!  Let give some time to Indian scientists!,IndicTrilogy,
2020-12-30 15:45:21,@Reuters 5-6 weeks (weeks!) to get immunity from the 2 dose Pfizer vaccine - she got Covid because there’s so much… https://t.co/Hpes0RMZp3,jcasey_do,"Trumansburg, NY"
2020-12-30 15:44:40,A California nurse tested positive for COVID-19 more than a week after receiving the first dose of the Pfizer vacci… https://t.co/AfkLGC4BD2,isaiahisrael15,
2020-12-30 15:44:21,"@JKerby8 @DonMartinCTV What garbage are you spewing? The only update from official sources says we ""Canada will rec… https://t.co/H5bGMf7chk",QuazgarTheGreat,Trantor
2020-12-30 15:44:21,Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine. https://t.co/5MbREKpY4F,RaiderCL,USA
2020-12-30 15:44:02,US nurse tested COVID-19 positive 8 days after receiving Pfizer vaccine   #Coronavirus #CovidVaccine #COVID-19… https://t.co/jBonsqz1O1,HealthSite4U,Mumbai
2020-12-30 15:44:01,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work – ABC… https://t.co/kPIqXqxyHM",LiquidityL,"Bedford, TX"
2020-12-30 15:43:42,@TheOtherBond @RockyWasYer @TheJamieDub1 @RobertLindsay Yes we could and this should help drive that. A lot goes on… https://t.co/NezUn5DzBc,Manterik,deva loka
2020-12-30 15:43:41,"Before Covid, did we ever even talk about the brands behind vaccines? Flu? Measles? Polio? Rabies? It was just the… https://t.co/XyBQXFEKvM",JimJ_candid,
2020-12-30 15:43:25,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC… https://t.co/HO4h5I1bAf",ABMollyblum,Pegasus Galaxy
2020-12-30 15:43:06,Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine | ZeroHedge https://t.co/vqRnlSmVBH,MagnaCa77552324,
2020-12-30 15:42:51,&gt; Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine,breadzeppelin__,"Boulder County CO, USA"
2020-12-30 15:42:38,"@gonoles7682 According to https://t.co/uO4tQ25Oi7, the Pfizer-BioNTech vaccine is 95% effective in preventing Covid… https://t.co/Okl8xMAVsB",UMBLEivable_,"Omaha, NE"
2020-12-30 15:41:58,"@ThisIsKhuliso @Sele_bogo https://t.co/nPpV1ljWg5  Now you need two doses, hmmm",tumimoraba,"ÜT: 40.645121,-73.787521"
2020-12-30 15:41:40,Nurse contracts COVID days after first Pfizer vaccine dose  https://t.co/xeVIduytTT,wpdeabc15,"Myrtle Beach, SC"
2020-12-30 15:41:36,California nurse tests positive over a week after receiving Pfizer COVID-19 vaccine: Report https://t.co/3XOhvvWJJL,at2rty,France/Paris
2020-12-30 15:41:35,"Die of a heart attack after getting covid=""it was covid!"" Die of a heart attack after getting Pfizer vaccine=""it was a heart attack!""  🤪",TiamatNM,"Virginia, USA"
2020-12-30 15:41:31,"@Amy_Siskind @Reuters He, the male nurse more than likely already was incubating the virus, the vaccination takes t… https://t.co/mkRj3OKIoO",lbloveslife25,"Long Island, NY"
2020-12-30 15:41:02,@bob48948486 @itsJeffTiedrich @realDonaldTrump All pfizer does is lessen the severity of symptoms to Covid. It doesn't prevent anything,MsStarlets,
2020-12-30 15:40:53,California nurse tests positive over a week after receiving Pfizer COVID-19 vaccine https://t.co/56suNrEFL3,at2rty,France/Paris
2020-12-30 15:40:31,Dec 30 (Reuters) - A nurse in California tested positive for COVID-19 more than a week after receiving Pfizer Inc's… https://t.co/FzxPRth1Ts,faithdefender,Right where God wants me
2020-12-30 15:40:24,@bob48948486 @itsJeffTiedrich @realDonaldTrump I'm not saying wait to push it out. The point was there's more reaso… https://t.co/stUqf0cQs1,MsStarlets,
2020-12-30 15:40:01,“An A&amp;E nurse has tested positive for Covid-19 eight days after he received Pfizer vaccine” https://t.co/HRxnxY7jmQ,LetsGoSMWElse,London
2020-12-30 15:39:17,#BREAKING: @WDGPublicHealth  will receive its first shipment of the Pfizer COVID-19 vaccine on January 4th.   Publi… https://t.co/Xr2cE85Szt,TheGrand101FM,"Centre Wellington, Ontario"
2020-12-30 15:38:28,18 of us Medical Students recieved our in person training for delivering the COVID Pfizer Vaccine today. We will be… https://t.co/S7atFdpcgg,trishikasuji,"London, England"
2020-12-30 15:38:11,"@AdrianaBarton @DrBonnieHenry Talked to my gf in Seattle who’s a nurse front line icu covid ward, been inoculated (… https://t.co/QZIU5LAcDI",Kristy91808800,
2020-12-30 15:37:56,"Interesting to see that Michael Yeadon, a favourite of Lockdown Sceptics et al, back in November was claiming that… https://t.co/FIY0NN3a1Q",MarkDaymond,UK
2020-12-30 15:37:49,"Vaccinated U.S. nurse contracts COVID-19, expert says Pfizer shot needed more time to work: Report - Toronto Sun… https://t.co/WRO67doesh",kam75,"Thunder Bay,Ontario,Canada."
2020-12-30 15:37:36,@MichelleKuppens @RTLnieuws @Rijksoverheid Bron: https://t.co/C0ajmq7GqM Print =&gt; https://t.co/0fL5CT4GUw,IngeJusta,Amsterdam
2020-12-30 15:36:46,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work – ABC https://t.co/xovfYgUail",TheDailyNewsngr,"Lagos, Nigeria"
2020-12-30 15:36:14,ER nurse tests positive for COVID-19 eight days after he received Pfizer vaccine https://t.co/IE2qzktcT7,James_Thorburn,Hong Kong and United Kingdom
2020-12-30 15:36:13,https://t.co/qE6GZ29vJH: California nurse tests positive over a week after receiving Pfizer COVID-19 vaccine.… https://t.co/CT1feHJQkW,stevenjwebb1989,"Norwich, England"
2020-12-30 15:35:59,Swiss Patient Dies Shortly After Receiving Pfizer COVID Vaccine https://t.co/yNBo4ubQsn,wbradleyjr1,
2020-12-30 15:35:37,"@Nomediocre_P @disclosetv Here's some fun reading, the most recent fact sheets from both Pfizer and Moderna on thei… https://t.co/Lp6FCMii6k",anactualg0at,Don't see the point
2020-12-30 15:35:37,#BREAKING: Guelph to receive first shipment of Pfizer COVID-19 vaccine on Jan. 4.   More to come.,MattCartyCJOY,"Guelph, Ontario"
2020-12-30 15:35:30,"Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC | Article [AMP] | Re… https://t.co/W57CMiAAwj",Alexjenn7,Western USA.  
2020-12-30 17:00:07,@jilllewis33 @Will0770 Some articles (Professor Salisbury articles will give you his opinion on the pfizer jab one… https://t.co/eUXOtRKCiw,Raf_THFC,
2020-12-30 17:00:03,An emergency room nurse in the San Diego area tested positive for the coronavirus more than a week after receiving… https://t.co/vyWkyC0S0L,WBRCnews,"Birmingham, AL"
2020-12-30 16:59:58,@colinbraude 96 percent of Pfizer/BioNTech’s doses have been acquired by rich countries through bilateral deals in… https://t.co/zdxLfZf6Wo,miamalan,"Johannesburg, South Africa"
2020-12-30 16:59:55,ER nurse tests positive for COVID-19 eight days AFTER he received Pfizer vaccine via https://t.co/I6J1UVBkWo https://t.co/cI80KMxnte,Pminn76,St. Louis MO
2020-12-30 16:59:40,California nurse tests positive over a week after receiving Pfizer COVID-19 vaccine https://t.co/n5sJz4lbwt,CommiesOutNow,Ireland
2020-12-30 16:59:27,"Just for clarification, the Pfizer trials primary outcome was the onset of severe symptomatic COVID and not COVID p… https://t.co/00U8UeWxk8",OpMedStudent,"Los Angeles, CA"
2020-12-30 16:59:16,"A nurse in California tested positive for COVID-19 more than a week after receiving Pfizer Inc's vaccine, an ABC Ne… https://t.co/DRtDBvg14E",i__harman,Canada eh!
2020-12-30 16:59:00,WDGPH is the first public health unit in Ontario approved for storage and administration of the #COVID19 vaccine. I… https://t.co/CLVRErjKY4,NWCommunityNews,North Wellington
2020-12-30 16:58:48,"Now that the Pfizer-BioNTech and Moderna #COVID19 vaccines have been granted emergency use, the U.S. could start to… https://t.co/J9XdzAAjC7",BC_MHA,
2020-12-30 16:58:46,NO UNDERSTANDI OR ATTEMPTED MURDER: Care home workers rushed to hospital after 5 times 'overdose' of Covid vaccine https://t.co/ipH0gWBZQN,martinpaulam,
2020-12-30 16:58:33,@domdyer70 @filosofical_140 Except it doesnt? The pfizer vac was just an example. Swap out covid for any disease. The point still applies.,zynstein,I'm currently lost.
2020-12-30 16:58:18,A 45-year-old nurse in California tested positive for Covid-19 more than a week after receiving Pfizer's coronaviru… https://t.co/Rw4r3YwFCV,RamAhgir2,"
ASEAN"
2020-12-30 16:58:05,🇫🇮 #Finland is forcing parents to take the #Pfizer (Covid) injection or loose their child allowance benefits! 😲  Th… https://t.co/Ef2xOADVD7,WikiAnons,Worldwide 
2020-12-30 16:57:35,"@RC8R2 @WIRRALGLOBENEWS Nor would I, I  don't know why some people are so inconsiderate. I work in the NHS, had Cov… https://t.co/bsQw4k0uVU",0fccf6255128454,
2020-12-30 16:57:22,"COVID-19 PFIZER &amp; MODERNA mRNA vaccines have the potential for DNA gene therapy, changing our DNA ❓ ✅ 👉 PROVED ‼️",2dedostesta,"Porto, Portugal"
